,filename,simbad_name
129,Database/TIC 36733752.csv,TIC 36733752
130,Database/TIC 56812239.csv,TIC 56812239
131,Database/TIC 376814040.csv,TIC 376814040
132,Database/TIC 332891271.csv,TIC 332891271
133,Database/TIC 436248822.csv,TIC 436248822
134,Database/TIC 422126010.csv,TIC 422126010
135,Database/TIC 350856014.csv,TIC 350856014
136,Database/TIC 326205407.csv,TIC 326205407
137,Database/HD 217107.csv,TIC 38271828
138,Database/TIC 276298598.csv,TIC 276298598
139,Database/TIC 1525268.csv,TIC 1525268
140,Database/TIC 95474234.csv,TIC 95474234
141,Database/TIC 72599316.csv,TIC 72599316
142,Database/TIC 340221807.csv,TIC 340221807
143,Database/TIC 341500777.csv,TIC 341500777
144,Database/TIC 297175954.csv,TIC 297175954
145,Database/TIC 352542468.csv,TIC 352542468
146,Database/TIC 410363793.csv,TIC 410363793
147,Database/TIC 60593358.csv,TIC 60593358
148,Database/TIC 334994118.csv,TIC 334994118
149,Database/TIC 278962831.csv,TIC 278962831
150,Database/TIC 62355113.csv,TIC 62355113
151,Database/HD 23596.csv,TIC 201266092
152,Database/TIC 5520036.csv,TIC 5520036
153,Database/TIC 2712931.csv,TIC 2712931
154,Database/HD 216437.csv,TIC 277774779
155,Database/TIC 445976787.csv,TIC 445976787
156,Database/TIC 171774303.csv,TIC 171774303
157,Database/TIC 471012347.csv,TIC 471012347
158,Database/TIC 52446676.csv,TIC 52446676
159,Database/TIC 245368902.csv,TIC 245368902
160,Database/TIC 162815592.csv,TIC 162815592
161,Database/TIC 374365000.csv,TIC 374365000
162,Database/TIC 25209852.csv,TIC 25209852
163,Database/TIC 167126852.csv,TIC 167126852
164,Database/TIC 62535325.csv,TIC 62535325
165,Database/TIC 464344333.csv,TIC 464344333
166,Database/TIC 464559887.csv,TIC 464559887
167,Database/TIC 262126225.csv,TIC 262126225
168,Database/TIC 281812116.csv,TIC 281812116
169,Database/CoRoT-16.csv,TIC 218299481
170,Database/WASP-17.csv,TIC 66818296
171,Database/TIC 260001578.csv,TIC 260001578
172,Database/XO-3.csv,TIC 8400842
173,Database/TIC 400806831.csv,TIC 400806831
174,Database/TIC 350924045.csv,TIC 350924045
175,Database/WASP-2.csv,TIC 374530847
176,Database/TIC 384363148.csv,TIC 384363148
177,Database/TIC 180976053.csv,TIC 180976053
178,Database/TIC 37778297.csv,TIC 37778297
179,Database/TIC 461393935.csv,TIC 461393935
180,Database/TIC 99010.csv,TIC 99010
181,Database/TIC 365653206.csv,TIC 365653206
182,Database/TIC 169226822.csv,TIC 169226822
183,Database/TIC 167088607.csv,TIC 167088607
184,Database/HD 224693.csv,TIC 114807081
185,Database/TIC 238607159.csv,TIC 238607159
186,Database/TIC 333606239.csv,TIC 333606239
187,Database/TIC 354518617.csv,TIC 354518617
188,Database/TIC 415085843.csv,TIC 415085843
189,Database/TIC 394124612.csv,CCDM J23133-6035AB
190,Database/TIC 178170409.csv,TIC 178170409
191,Database/TIC 216611426.csv,TIC 216611426
192,Database/TIC 48426955.csv,TIC 48426955
193,Database/TIC 198305396.csv,TIC 198305396
194,Database/TIC 439391442.csv,TIC 439391442
195,Database/TIC 120523708.csv,TIC 120523708
196,Database/TIC 280859200.csv,TIC 280859200
197,Database/TIC 169226820.csv,TIC 169226820
198,Database/TIC 404485305.csv,TIC 404485305
199,Database/TIC 142456308.csv,TIC 142456308
200,Database/TIC 53189332.csv,TIC 53189332
201,Database/HD 79498.csv,TIC 85998162
202,Database/TIC 362676792.csv,TIC 362676792
203,Database/TIC 159746875.csv,TIC 159746875
204,Database/TIC 202852072.csv,TIC 202852072
205,Database/TIC 402317981.csv,TIC 402317981
206,Database/TIC 270485783.csv,TIC 270485783
207,Database/WASP-15.csv,TIC 111991770
208,Database/XO-1.csv,TIC 236312126
209,Database/HAT-P-8.csv,TIC 188876052
210,Database/TIC 146267651.csv,TIC 146267651
211,Database/TIC 220378915.csv,TIC 220378915
212,Database/HD 114729.csv,TIC 124401411
213,Database/TIC 363838130.csv,TIC 363838130
214,Database/TIC 220571983.csv,TIC 220571983
215,Database/TIC 48437482.csv,TIC 48437482
216,Database/TIC 362169628.csv,TIC 362169628
217,Database/TIC 279219761.csv,TIC 279219761
218,Database/TIC 319341779.csv,TIC 319341779
219,Database/TIC 206999421.csv,TIC 206999421
220,Database/TIC 155517214.csv,TIC 155517214
221,Database/TIC 48778477.csv,TIC 48778477
222,Database/Gaia DR2 6719152945032456832.csv,PLX 4431
223,Database/TIC 349229985.csv,TIC 349229985
224,Database/TIC 308844962.csv,TIC 308844962
225,Database/TIC 310764588.csv,AKARI-IRC-V1 J0837188-625112
226,Database/TIC 70489756.csv,TIC 70489756
227,Database/TIC 277533870.csv,TIC 277533870
228,Database/TIC 12421862.csv,TOI-198
229,Database/TIC 148221800.csv,TIC 148221800
230,Database/TIC 287157635.csv,TIC 287157635
231,Database/TIC 250593544.csv,TIC 250593544
232,Database/TIC 224752354.csv,TIC 224752354
233,Database/TIC 118882363.csv,TIC 118882363
234,Database/Kepler-44.csv,TIC 239277658
235,Database/TIC 52005579.csv,TIC 52005579
236,Database/TIC 26336706.csv,TIC 26336706
237,Database/Xi Aql.csv,TIC 375464367
238,Database/TIC 282101454.csv,TIC 282101454
239,Database/55 Cnc.csv,TIC 332064670
240,Database/TIC 178288068.csv,TIC 178288068
241,Database/TIC 361168660.csv,TIC 361168660
242,Database/TIC 367758676.csv,TIC 367758676
243,Database/TIC 114178837.csv,TIC 114178837
244,Database/TIC 56756712.csv,TIC 56756712
245,Database/TIC 167756732.csv,TIC 167756732
246,Database/TIC 81770639.csv,RAVE J171843.7-292925
247,Database/TIC 351454823.csv,TIC 351454823
248,Database/TIC 167814656.csv,TIC 167814656
249,Database/HD 60532.csv,TIC 456871289
250,Database/TIC 38698692.csv,TIC 38698692
251,Database/TIC 53938218.csv,TIC 53938218
252,Database/TIC 272341056.csv,TIC 272341056
253,Database/TIC 301232495.csv,TIC 301232495
254,Database/HD 117618.csv,TIC 243194645
255,Database/TIC 225317852.csv,TIC 225317852
256,Database/TIC 280797969.csv,TIC 280797969
257,Database/TIC 323494982.csv,TIC 323494982
258,Database/TIC 398176120.csv,TIC 398176120
259,Database/TIC 678621.csv,TIC 678621
260,Database/TIC 98751019.csv,TIC 98751019
261,Database/TIC 49644110.csv,TIC 49644110
262,Database/HD 157214.csv,TIC 9728611
263,Database/TIC 453833488.csv,TIC 453833488
264,Database/TIC 77358244.csv,TIC 77358244
265,Database/TIC 140142136.csv,TIC 140142136
266,Database/TIC 52448507.csv,TIC 52448507
267,Database/TIC 77288515.csv,TIC 77288515
268,Database/TIC 124751941.csv,TIC 124751941
269,Database/TIC 392794602.csv,TIC 392794602
270,Database/Gaia DR2 6146899611411058304.csv,PLX 2903
271,Database/TIC 87989721.csv,TIC 87989721
272,Database/TIC 207141131.csv,TOI-179
273,Database/TIC 315098995.csv,TIC 315098995
274,Database/TIC 397061742.csv,TIC 397061742
275,Database/TIC 237336864.csv,CD-64  1414
276,Database/TIC 5165416.csv,TIC 5165416
277,Database/HD 128167.csv,TIC 157966796
278,Database/TIC 449152950.csv,TIC 449152950
279,Database/TIC 383361671.csv,TIC 383361671
280,Database/TIC 351701483.csv,TIC 351701483
281,Database/TIC 31716749.csv,TIC 31716749
282,Database/HD 32923.csv,TIC 27136704
283,Database/TIC 167730892.csv,TIC 167730892
284,Database/TIC 151654299.csv,TIC 151654299
285,Database/TIC 51077087.csv,TIC 51077087
286,Database/TIC 360405963.csv,TIC 360405963
287,Database/TIC 292333585.csv,TIC 292333585
288,Database/HD 185144.csv,TIC 259237827
289,Database/TIC 288329878.csv,TIC 288329878
290,Database/TIC 160004049.csv,TIC 160004049
291,Database/TIC 298812498.csv,TIC 298812498
292,Database/TIC 408448101.csv,TIC 408448101
293,Database/TIC 449162688.csv,TIC 449162688
294,Database/TIC 364216056.csv,TIC 364216056
295,Database/HD 80606.csv,TIC 457134360
296,Database/TIC 52373734.csv,TIC 52373734
297,Database/TIC 299018385.csv,TIC 299018385
298,Database/TIC 11558204.csv,TIC 11558204
299,Database/TIC 206614902.csv,TIC 206614902
300,Database/TIC 382391899.csv,TIC 382391899
301,Database/TIC 80417903.csv,TIC 80417903
302,Database/TIC 320547523.csv,LLNS  5814
303,Database/TIC 200851505.csv,TIC 200851505
304,Database/TIC 388734737.csv,TIC 388734737
305,Database/TIC 102069549.csv,TIC 102069549
306,Database/TIC 61004258.csv,TIC 61004258
307,Database/TIC 25227164.csv,TIC 25227164
308,Database/TIC 49511355.csv,TIC 49511355
309,Database/TIC 34192032.csv,TIC 34192032
310,Database/HIP 57050.csv,TIC 115869504
311,Database/TIC 229331994.csv,TIC 229331994
312,Database/TIC 452501166.csv,TIC 452501166
313,Database/TIC 469811127.csv,TIC 469811127
314,Database/TIC 450352108.csv,TIC 450352108
315,Database/TIC 142098917.csv,TIC 142098917
316,Database/TIC 130279195.csv,TIC 130279195
317,Database/Gaia DR1 6827754075031866496.csv,CD-24 16586
318,Database/TIC 379348964.csv,TIC 379348964
319,Database/TIC 101622280.csv,TIC 101622280
320,Database/TIC 64053723.csv,TIC 64053723
321,Database/HD 155358.csv,TIC 21897561
322,Database/HD 81040.csv,TIC 414965996
323,Database/TIC 131194830.csv,TIC 131194830
324,Database/TIC 20375215.csv,TIC 20375215
325,Database/TIC 69295126.csv,TIC 69295126
326,Database/TIC 384886463.csv,TIC 384886463
327,Database/TIC 87937227.csv,TIC 87937227
328,Database/TIC 113403971.csv,TIC 113403971
329,Database/TIC 214664574.csv,TIC 214664574
330,Database/TIC 144063156.csv,TIC 144063156
331,Database/TIC 19976193.csv,TIC 19976193
332,Database/TIC 404224395.csv,TIC 404224395
333,Database/TIC 77209220.csv,TIC 77209220
334,Database/TIC 439670072.csv,LLNS  9720
335,Database/TIC 66437824.csv,TIC 66437824
336,Database/TIC 214363991.csv,TIC 214363991
337,Database/TIC 248381971.csv,TIC 248381971
338,Database/TIC 58733427.csv,TIC 58733427
339,Database/TIC 168442621.csv,TIC 168442621
340,Database/TIC 92982762.csv,TIC 92982762
341,Database/TIC 410036073.csv,TIC 410036073
342,Database/TIC 130220180.csv,TIC 130220180
343,Database/TIC 206066249.csv,TIC 206066249
344,Database/HD 17156.csv,TIC 302773669
345,Database/TIC 164593018.csv,TIC 164593018
346,Database/TIC 214576902.csv,TIC 214576902
347,Database/TIC 441389475.csv,TIC 441389475
348,Database/TIC 304997144.csv,TIC 304997144
349,Database/TIC 155315895.csv,TIC 155315895
350,Database/TIC 111245241.csv,TIC 111245241
351,Database/TIC 14075378.csv,TIC 14075378
352,Database/TIC 313936437.csv,TIC 313936437
353,Database/7 CMa.csv,TIC 48237215
354,Database/Gaia DR2 2442996678074668288.csv,PLX 5779.1
355,Database/TIC 74541369.csv,TIC 74541369
356,Database/Kepler-8.csv,TIC 123233041
357,Database/HAT-P-9.csv,TIC 371234684
358,Database/TIC 175296644.csv,TIC 175296644
359,Database/TIC 170203297.csv,TIC 170203297
360,Database/TIC 100544690.csv,TIC 100544690
361,Database/TIC 453689120.csv,TIC 453689120
362,Database/TIC 151456219.csv,TIC 151456219
363,Database/TIC 30915363.csv,TIC 30915363
364,Database/TIC 415563103.csv,TIC 415563103
365,Database/TIC 49243933.csv,TIC 49243933
366,Database/TIC 227271997.csv,TIC 227271997
367,Database/WASP-14.csv,TIC 347430350
368,Database/TIC 24921603.csv,TIC 24921603
369,Database/TIC 6983337.csv,TIC 6983337
370,Database/TIC 185267623.csv,TIC 185267623
371,Database/TIC 219223742.csv,TIC 219223742
372,Database/HD 74156.csv,TIC 379949822
373,Database/TIC 291635915.csv,TIC 291635915
374,Database/TIC 232022864.csv,TIC 232022864
375,Database/TIC 173877131.csv,TIC 173877131
376,Database/TIC 213078996.csv,TIC 213078996
377,Database/TIC 325252408.csv,TIC 325252408
378,Database/TIC 293413685.csv,TIC 293413685
379,Database/TIC 166762393.csv,TIC 166762393
380,Database/HD 25457.csv,TIC 9150015
381,Database/TIC 72465347.csv,TIC 72465347
382,Database/HD 93083.csv,TIC 54237857
383,Database/TIC 368626110.csv,TIC 368626110
384,Database/HD 115383.csv,TIC 397587084
385,Database/TIC 80671569.csv,TIC 80671569
386,Database/TIC 391136397.csv,TIC 391136397
387,Database/TIC 127382459.csv,TIC 127382459
388,Database/TIC 270639162.csv,TIC 270639162
389,Database/TIC 320847025.csv,TIC 320847025
390,Database/TIC 124338495.csv,TIC 124338495
391,Database/TIC 326927305.csv,TIC 326927305
392,Database/TIC 372124621.csv,TIC 372124621
393,Database/TIC 422125898.csv,TIC 422125898
394,Database/TIC 143021098.csv,TIC 143021098
395,Database/HD 6434.csv,TIC 180871947
396,Database/TIC 280803137.csv,TIC 280803137
397,Database/TIC 111768.csv,WISE J144932.33-260622.6
398,Database/TIC 421911620.csv,TIC 421911620
399,Database/WASP-10.csv,TIC 431701493
400,Database/TIC 423285798.csv,TIC 423285798
401,Database/TIC 364893926.csv,TIC 364893926
402,Database/HD3821.csv,PLX  119
403,Database/TIC 165162477.csv,TIC 165162477
404,Database/TIC 20997718.csv,TIC 20997718
405,Database/XO-4.csv,TIC 51234631
406,Database/TIC 439710437.csv,TIC 439710437
407,Database/TIC 237622598.csv,TIC 237622598
408,Database/TIC 422618003.csv,TIC 422618003
409,Database/HD 156279.csv,TIC 232606278
410,Database/HD 39091.csv,PLX 1340
411,Database/TIC 50090322.csv,TIC 50090322
412,Database/HD 45364.csv,TIC 117768715
413,Database/TIC 73355325.csv,TIC 73355325
414,Database/TIC 21504820.csv,TIC 21504820
415,Database/HD 114710.csv,TIC 445070560
416,Database/WASP-5.csv,TIC 184240683
417,Database/TIC 37300889.csv,TIC 37300889
418,Database/WASP-38.csv,TIC 318696424
419,Database/TIC 279314081.csv,TIC 279314081
420,Database/TIC 369491985.csv,TIC 369491985
421,Database/TIC 457609006.csv,TIC 457609006
422,Database/16 Cyg B.csv,TIC 27533327
423,Database/TIC 278772999.csv,TIC 278772999
424,Database/TIC 32448045.csv,TIC 32448045
425,Database/TIC 406343361.csv,TIC 406343361
426,Database/TIC 121025936.csv,TIC 121025936
427,Database/TIC 389885757.csv,TIC 389885757
428,Database/TIC 381050650.csv,TIC 381050650
429,Database/TIC 293435336.csv,TIC 293435336
430,Database/TIC 80899816.csv,TIC 80899816
431,Database/TIC 153600301.csv,TIC 153600301
432,Database/TIC 143713715.csv,TIC 143713715
433,Database/TIC 71984500.csv,TIC 71984500
434,Database/TIC 211305389.csv,TIC 211305389
435,Database/TIC 390730327.csv,TIC 390730327
436,Database/TIC 101011575.csv,TOI-560
437,Database/TIC 7652514.csv,TIC 7652514
438,Database/TIC 422604600.csv,TIC 422604600
439,Database/TIC 323296273.csv,TIC 323296273
440,Database/TIC 162892377.csv,TIC 162892377
441,Database/TIC 282501711.csv,TIC 282501711
442,Database/HD 173416.csv,TIC 157951225
443,Database/TIC 248448912.csv,TIC 248448912
444,Database/TIC 218922558.csv,TIC 218922558
445,Database/HIP80018.csv,PM 16168-3726
446,Database/TIC 60947424.csv,TIC 60947424
447,Database/TIC 4646810.csv,TOI-461
448,Database/TIC 322777782.csv,TIC 322777782
449,Database/HD 209458.csv,TIC 420814525
450,Database/Gaia DR2 4287925267628787328.csv,CoRoT 101332685
451,Database/TIC 60178082.csv,TIC 60178082
452,Database/TIC 74100918.csv,TIC 74100918
453,Database/TIC 308087983.csv,TIC 308087983
454,Database/TIC 36726370.csv,TIC 36726370
455,Database/TIC 267255253.csv,TIC 267255253
456,Database/TIC 164342032.csv,TIC 164342032
457,Database/TIC 46799297.csv,TIC 46799297
458,Database/TIC 125739286.csv,TIC 125739286
459,Database/TIC 210208396.csv,TIC 210208396
460,Database/HD 142022A.csv,TIC 290493086
461,Database/TIC 248386767.csv,TIC 248386767
462,Database/TIC 53952985.csv,TIC 53952985
463,Database/TIC 175402124.csv,TIC 175402124
464,Database/TIC 245911976.csv,TIC 245911976
465,Database/TIC 427735820.csv,TIC 427735820
466,Database/TIC 35229531.csv,TIC 35229531
467,Database/TIC 304997550.csv,TIC 304997550
468,Database/TIC 461273024.csv,TIC 461273024
469,Database/TIC 371797294.csv,TIC 371797294
470,Database/TIC 144285137.csv,TIC 144285137
471,Database/TIC 238115675.csv,TIC 238115675
472,Database/HD 27442.csv,TIC 198079199
473,Database/TIC 129383.csv,TIC 129383
474,Database/TIC 39725215.csv,TIC 39725215
475,Database/TIC 131001807.csv,TIC 131001807
476,Database/TIC 189113383.csv,TIC 189113383
477,Database/TIC 147718994.csv,TIC 147718994
478,Database/HIP 14810.csv,TIC 113810736
479,Database/TIC 261236136.csv,TIC 261236136
480,Database/14 Her.csv,TIC 219483057
481,Database/TIC 207074616.csv,TIC 207074616
482,Database/TIC 237933846.csv,TIC 237933846
483,Database/TIC 229550884.csv,TIC 229550884
484,Database/TIC 360689728.csv,TIC 360689728
485,Database/TIC 61592744.csv,TIC 61592744
486,Database/TIC 121106297.csv,TIC 121106297
487,Database/TIC 253139636.csv,TIC 253139636
488,Database/HD 104304.csv,TIC 152738837
489,Database/TIC 307224394.csv,TIC 307224394
490,Database/HIP 79431.csv,TIC 49324530
491,Database/TIC 286069970.csv,TIC 286069970
492,Database/TIC 107551405.csv,TIC 107551405
493,Database/TIC 215687919.csv,TIC 215687919
494,Database/TIC 22972926.csv,TIC 22972926
495,Database/TIC 306668068.csv,TIC 306668068
496,Database/TIC 355789476.csv,TIC 355789476
497,Database/TIC 429302040.csv,Gaia DR2 3578638842054261248
498,Database/TIC 340006157.csv,2MASS J07305699-5759280
499,Database/HD 164427.csv,TIC 76922247
500,Database/TIC 125297016.csv,TIC 125297016
501,Database/TIC 385435483.csv,TIC 385435483
502,Database/TIC 218966119.csv,TIC 218966119
503,Database/TIC 394973078.csv,TIC 394973078
504,Database/TIC 201937547.csv,TIC 201937547
505,Database/TIC 444107995.csv,TIC 444107995
506,Database/TIC 91210226.csv,TIC 91210226
507,Database/TIC 394393038.csv,TIC 394393038
508,Database/OGLE-TR-113.csv,SBC9 2451
509,Database/GJ 876.csv,TIC 188580272
510,Database/TIC 270711572.csv,TIC 270711572
511,Database/TIC 337566325.csv,TIC 337566325
512,Database/TIC 210788990.csv,TIC 210788990
513,Database/TIC 439213914.csv,TIC 439213914
514,Database/TIC 238598228.csv,TIC 238598228
515,Database/GJ 3470.csv,TIC 19028197
516,Database/TIC 10802452.csv,TIC 10802452
517,Database/TIC 6677245.csv,TIC 6677245
518,Database/TIC 279675528.csv,TIC 279675528
519,Database/TIC 341828299.csv,TIC 341828299
520,Database/HD 92788.csv,TIC 169248301
521,Database/TIC 423763376.csv,TIC 423763376
522,Database/TIC 231623694.csv,TIC 231623694
523,Database/HD 131156.csv,TIC 311180437
524,Database/TIC 321290683.csv,TIC 321290683
525,Database/TIC 101936170.csv,TIC 101936170
526,Database/TIC 70596114.csv,TIC 70596114
527,Database/TIC 351604689.csv,TIC 351604689
528,Database/TIC 98796344.csv,LP  771-96
529,Database/TIC 5433058.csv,TIC 5433058
530,Database/TIC 214416995.csv,TIC 214416995
531,Database/HD 131977.csv,TIC 287157634
532,Database/HD 102365.csv,TIC 454082369
533,Database/HD 195019.csv,TIC 210171104
534,Database/Kepler-40.csv,TIC 272840455
535,Database/TIC 49465016.csv,TIC 49465016
536,Database/TIC 212379505.csv,TIC 212379505
537,Database/TIC 120896927.csv,2MASS J02272838-2738064
538,Database/TIC 63835332.csv,TIC 63835332
539,Database/TIC 32945658.csv,TIC 32945658
540,Database/TIC 70803960.csv,TIC 70803960
541,Database/TIC 440851537.csv,TIC 440851537
542,Database/TIC 193025607.csv,TIC 193025607
543,Database/TIC 143271372.csv,TIC 143271372
544,Database/TIC 183640653.csv,TIC 183640653
545,Database/TIC 21246336.csv,TIC 21246336
546,Database/Gamma Cephei.csv,TIC 367912480
547,Database/TIC 58596146.csv,TIC 58596146
548,Database/HD125612B.csv,HD 125612B
549,Database/TIC 334251335.csv,TIC 334251335
550,Database/HD 68988.csv,TIC 73312938
551,Database/TIC 288449928.csv,TIC 288449928
552,Database/TIC 184449126.csv,TIC 184449126
553,Database/TIC 18428158.csv,TIC 18428158
554,Database/TIC 359278618.csv,TIC 359278618
555,Database/WASP-4.csv,Gaia EDR3 6535499658122055552
556,Database/HD 7924.csv,TIC 468723402
557,Database/TIC 263605985.csv,TIC 263605985
558,Database/TIC 111184885.csv,TIC 111184885
559,Database/HD129926.csv,PLX 3335
560,Database/WASP-39.csv,TIC 181949561
561,Database/TIC 117510145.csv,TIC 117510145
562,Database/TIC 52985729.csv,TIC 52985729
563,Database/TIC 418010485.csv,TIC 418010485
564,Database/TIC 164270485.csv,TIC 164270485
565,Database/TIC 242328834.csv,TIC 242328834
566,Database/XO-5.csv,TIC 9155187
567,Database/TIC 219256496.csv,TIC 219256496
568,Database/WASP-11.csv,TIC 85593751
569,Database/TIC 402066134.csv,TIC 402066134
570,Database/TIC 419610508.csv,TIC 419610508
571,Database/TIC 404160634.csv,TIC 404160634
572,Database/HD 141937.csv,TIC 437430894
573,Database/HD 48682.csv,TIC 307754027
574,Database/TIC 451213318.csv,TIC 451213318
575,Database/TIC 229102529.csv,TIC 229102529
576,Database/HD 222582.csv,TIC 9005067
577,Database/TIC 401667290.csv,TIC 401667290
578,Database/TIC 128902569.csv,TIC 128902569
579,Database/TIC 29900813.csv,TIC 29900813
580,Database/TIC 382276154.csv,TIC 382276154
581,Database/TIC 47751300.csv,TIC 47751300
582,Database/TIC 396810588.csv,TIC 396810588
583,Database/TIC 319384609.csv,TIC 319384609
